symbol,industry,industry_source,rows,selected_rows,has_industry,is_unknown
002540.SZ,C 制造业,akshare_metadata_cache,2054,76,True,False
002541.SZ,C 制造业,akshare_metadata_cache,2054,521,True,False
002544.SZ,I 信息技术,akshare_metadata_cache,2054,1118,True,False
002545.SZ,C 制造业,akshare_metadata_cache,1993,425,True,False
002548.SZ,C 制造业,akshare_metadata_cache,2044,492,True,False
002553.SZ,C 制造业,akshare_metadata_cache,2054,736,True,False
002555.SZ,I 信息技术,akshare_metadata_cache,2054,2054,True,False
002557.SZ,C 制造业,akshare_metadata_cache,2054,1338,True,False
002562.SZ,C 制造业,akshare_metadata_cache,2054,726,True,False
002563.SZ,C 制造业,akshare_metadata_cache,2054,458,True,False
002564.SZ,C 制造业,akshare_metadata_cache,2004,350,True,False
002565.SZ,C 制造业,akshare_metadata_cache,2054,817,True,False
002568.SZ,C 制造业,akshare_metadata_cache,2054,1292,True,False
002573.SZ,N 公共环保,akshare_metadata_cache,1973,306,True,False
002574.SZ,C 制造业,akshare_metadata_cache,2054,101,True,False
002577.SZ,C 制造业,akshare_metadata_cache,2054,365,True,False
002580.SZ,C 制造业,akshare_metadata_cache,1968,629,True,False
002585.SZ,C 制造业,akshare_metadata_cache,2054,1028,True,False
002587.SZ,C 制造业,akshare_metadata_cache,2054,478,True,False
002589.SZ,F 批发零售,akshare_metadata_cache,2054,845,True,False
002596.SZ,C 制造业,akshare_metadata_cache,2044,900,True,False
002599.SZ,C 制造业,akshare_metadata_cache,2050,467,True,False
002600.SZ,C 制造业,akshare_metadata_cache,2054,1980,True,False
002607.SZ,P 教育,akshare_metadata_cache,1956,1842,True,False
002609.SZ,I 信息技术,akshare_metadata_cache,2033,292,True,False
002613.SZ,C 制造业,akshare_metadata_cache,2054,288,True,False
002614.SZ,C 制造业,akshare_metadata_cache,2054,632,True,False
002615.SZ,C 制造业,akshare_metadata_cache,2054,120,True,False
002623.SZ,C 制造业,akshare_metadata_cache,2045,563,True,False
