date,symbol,is_selected,quality_status,quality_flags_x,open,high,low,close,volume,amount,data_source,amount_estimated,price_adjust,source_priority,source_fetch_time,source_error,volume_unit,quality_flags_y,factor,is_paused,is_st,list_date,list_date_fallback,industry,limit_up,limit_down,has_valid_ohlc,has_valid_volume,has_valid_amount,has_valid_limit,has_valid_list_date,has_valid_industry,listed_days,listed_days_fallback,avg_amount,eligible,liquidity_rank,selected,industry_source,industry_update_date,year
2018-08-28,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.74,-1.61,-1.75,-1.65,10195100.0,36942627.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.903,-1.557,False,True,True,False,True,True,5507.0,False,33720076.95,True,594.0,False,akshare_metadata_cache,,2018
2018-08-28,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.04,-0.9,-1.07,-0.96,41243200.0,315870656.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.1330000000000002,-0.927,False,True,True,False,True,False,1673.0,False,337013094.0,True,55.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-29,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.66,-1.59,-1.7,-1.6,8320300.0,30295728.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.815,-1.4849999999999999,False,True,True,False,True,True,5508.0,False,33174538.85,True,596.0,False,akshare_metadata_cache,,2018
2018-08-29,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.98,-0.92,-1.05,-1.02,22544000.0,172159894.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.056,-0.864,False,True,True,False,True,False,1674.0,False,328279043.9,True,54.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-30,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,0.11,0.14,-0.05,-0.02,8818900.0,78554597.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,0.18700000000000003,0.15300000000000002,False,True,True,False,True,False,6335.0,False,117454437.0,True,188.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-30,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.62,-1.6,-1.69,-1.69,4652200.0,16896769.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.7600000000000002,-1.4400000000000002,False,True,True,False,True,True,5509.0,False,32172813.8,True,598.0,False,akshare_metadata_cache,,2018
2018-08-30,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.03,-0.96,-1.17,-1.12,27705900.0,208646378.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.122,-0.918,False,True,True,False,True,False,1675.0,False,319136777.2,True,58.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-31,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.02,-0.02,-0.16,-0.11,4663400.0,40503740.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,-0.022000000000000002,-0.018000000000000002,False,True,True,False,True,False,6336.0,False,109168622.3,True,197.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-31,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.69,-1.65,-1.75,-1.69,4407900.0,15828480.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.859,-1.521,False,True,True,False,True,True,5510.0,False,30352843.9,True,614.0,False,akshare_metadata_cache,,2018
2018-08-31,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.12,-1.11,-1.24,-1.14,22395500.0,166969764.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.2320000000000002,-1.0080000000000002,False,True,True,False,True,False,1676.0,False,303073650.2,True,60.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-03,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.11,-0.05,-0.18,-0.07,3352900.0,28836152.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,-0.12100000000000001,-0.099,False,True,True,False,True,False,6339.0,False,94960023.5,True,226.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-03,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.7,-1.69,-1.78,-1.73,5254600.0,18555998.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.859,-1.521,False,True,True,False,True,True,5513.0,False,29354115.15,True,626.0,False,akshare_metadata_cache,,2018
2018-09-03,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.17,-1.14,-1.29,-1.24,29546000.0,218847700.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.254,-1.026,False,True,True,False,True,False,1679.0,False,295419092.0,True,60.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-04,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.08,-0.03,-0.11,-0.04,3711900.0,32415216.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,-0.07700000000000001,-0.06300000000000001,False,True,True,False,True,False,6340.0,False,83872640.75,True,257.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-04,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.75,-1.69,-1.76,-1.7,5165000.0,18363532.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.903,-1.557,False,True,True,False,True,True,5514.0,False,28154871.75,True,637.0,False,akshare_metadata_cache,,2018
2018-09-04,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.23,-1.12,-1.24,-1.14,19704500.0,146795403.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.364,-1.116,False,True,True,False,True,False,1680.0,False,272979852.55,True,68.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-05,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.05,-0.05,-0.18,-0.18,3790300.0,32770665.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,-0.044000000000000004,-0.036000000000000004,False,True,True,False,True,False,6341.0,False,73727383.4,True,287.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-05,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.7,-1.7,-1.78,-1.78,3931000.0,13897987.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.87,-1.53,False,True,True,False,True,True,5515.0,False,26438258.65,True,655.0,False,akshare_metadata_cache,,2018
2018-09-05,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.13,-1.13,-1.28,-1.27,21256500.0,157855886.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.254,-1.026,False,True,True,False,True,False,1681.0,False,263145278.05,True,69.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-06,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.18,-0.13,-0.26,-0.24,3885300.0,32879898.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,-0.198,-0.162,False,True,True,False,True,False,6342.0,False,66123332.9,True,309.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-06,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.83,-1.75,-1.83,-1.8,3665200.0,12791439.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.9580000000000002,-1.602,False,True,True,False,True,True,5516.0,False,24692555.05,True,666.0,False,akshare_metadata_cache,,2018
2018-09-06,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.25,-1.14,-1.34,-1.31,24696000.0,182237380.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.3970000000000002,-1.143,False,True,True,False,True,False,1682.0,False,254049260.65,True,68.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-07,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.22,-0.16,-0.25,-0.21,2908800.0,24647163.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,-0.264,-0.216,False,True,True,False,True,False,6343.0,False,61204411.0,True,340.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-07,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.79,-1.67,-1.79,-1.73,5714500.0,20376287.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.9800000000000002,-1.62,False,True,True,False,True,True,5517.0,False,23991280.85,True,669.0,False,akshare_metadata_cache,,2018
2018-09-07,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.66,-0.58,-0.88,-0.58,228126900.0,1820831456.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.4410000000000003,-1.179,False,True,True,False,True,False,1683.0,False,324439148.65,True,49.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-10,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.21,-0.18,-0.29,-0.29,2700200.0,22536672.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,-0.231,-0.189,False,True,True,False,True,False,6346.0,False,57736072.5,True,350.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-10,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.75,-1.74,-1.81,-1.8,3730100.0,13029944.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.903,-1.557,False,True,True,False,True,True,5520.0,False,22646009.65,True,685.0,False,akshare_metadata_cache,,2018
2018-09-10,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.64,-0.58,-0.76,-0.66,105983000.0,843374304.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-0.638,-0.522,False,True,True,False,True,False,1686.0,False,349434111.85,True,43.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-11,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.29,-0.26,-0.36,-0.32,2668900.0,21998506.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,-0.319,-0.261,False,True,True,False,True,False,6347.0,False,52507424.35,True,380.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-11,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.81,-1.78,-1.86,-1.84,3212300.0,11070643.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.9800000000000002,-1.62,False,True,True,False,True,True,5521.0,False,21406226.05,True,692.0,False,akshare_metadata_cache,,2018
2018-09-11,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.67,-0.67,-0.89,-0.79,72059700.0,564429936.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-0.7260000000000001,-0.5940000000000001,False,True,True,False,True,False,1687.0,False,360569146.25,True,41.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-12,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.32,-0.28,-0.33,-0.31,2144900.0,17719855.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,-0.35200000000000004,-0.28800000000000003,False,True,True,False,True,False,6348.0,False,49426271.35,True,397.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-12,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.83,-1.82,-1.87,-1.85,4012400.0,13782217.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-2.0240000000000005,-1.6560000000000001,False,True,True,False,True,True,5522.0,False,20899275.85,True,698.0,False,akshare_metadata_cache,,2018
2018-09-12,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.79,-0.61,-0.84,-0.77,84413300.0,668360592.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-0.8690000000000001,-0.7110000000000001,False,True,True,False,True,False,1688.0,False,377785018.25,True,38.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-13,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.28,-0.23,-0.31,-0.24,3393600.0,28290361.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,-0.341,-0.279,False,True,True,False,True,False,6349.0,False,46666470.35,True,413.0,True,eastmoney_board_industry,2026-06-28,2018
2018-09-13,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.81,-1.81,-1.87,-1.82,4194200.0,14435734.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-2.035,-1.665,False,True,True,False,True,True,5523.0,False,20093946.55,True,713.0,False,akshare_metadata_cache,,2018
2018-09-13,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.64,-0.61,-0.81,-0.63,48604600.0,385884864.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-0.8470000000000001,-0.6930000000000001,False,True,True,False,True,False,1689.0,False,383417096.65,True,38.0,True,eastmoney_board_industry,2026-06-28,2018
