symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
002555.SZ,eastmoney,1.0,False,eastmoney,,
002557.SZ,eastmoney,1.0,False,eastmoney,,
002563.SZ,eastmoney,1.0,False,eastmoney,,
002568.SZ,eastmoney,1.0,False,eastmoney,,
002573.SZ,eastmoney,1.0,False,eastmoney,,
002577.SZ,eastmoney,1.0,False,eastmoney,,
002587.SZ,eastmoney,1.0,False,eastmoney,,
002589.SZ,eastmoney,1.0,False,eastmoney,,
002596.SZ,eastmoney,1.0,False,eastmoney,,
002599.SZ,eastmoney,1.0,False,eastmoney,,
002607.SZ,eastmoney,1.0,False,eastmoney,,
002614.SZ,eastmoney,1.0,False,eastmoney,,
002623.SZ,eastmoney,1.0,False,eastmoney,,
002640.SZ,eastmoney,1.0,False,eastmoney,,
002645.SZ,eastmoney,1.0,False,eastmoney,,
002649.SZ,eastmoney,1.0,False,eastmoney,,
002666.SZ,eastmoney,1.0,False,eastmoney,,
002672.SZ,eastmoney,1.0,False,eastmoney,,
002675.SZ,eastmoney,1.0,False,eastmoney,,
002677.SZ,eastmoney,1.0,False,eastmoney,,
002683.SZ,eastmoney,1.0,False,eastmoney,,
002697.SZ,eastmoney,1.0,False,eastmoney,,
002698.SZ,eastmoney,1.0,False,eastmoney,,
002702.SZ,eastmoney,1.0,False,eastmoney,,
002708.SZ,eastmoney,1.0,False,eastmoney,,
002724.SZ,eastmoney,1.0,False,eastmoney,,
002725.SZ,eastmoney,1.0,False,eastmoney,,
002733.SZ,eastmoney,1.0,False,eastmoney,,
002746.SZ,eastmoney,1.0,False,eastmoney,,
002749.SZ,eastmoney,1.0,False,eastmoney,,
002760.SZ,eastmoney,1.0,False,eastmoney,,
002762.SZ,eastmoney,1.0,False,eastmoney,,
002766.SZ,eastmoney,1.0,False,eastmoney,,
002767.SZ,eastmoney,1.0,False,eastmoney,,
002778.SZ,eastmoney,1.0,False,eastmoney,,
002792.SZ,eastmoney,1.0,False,eastmoney,,
002795.SZ,eastmoney,1.0,False,eastmoney,,
002796.SZ,eastmoney,1.0,False,eastmoney,,
002800.SZ,eastmoney,1.0,False,eastmoney,,
002801.SZ,eastmoney,1.0,False,eastmoney,,
002803.SZ,eastmoney,1.0,False,eastmoney,,
002807.SZ,eastmoney,1.0,False,eastmoney,,
002827.SZ,eastmoney,1.0,False,eastmoney,,
002829.SZ,eastmoney,1.0,False,eastmoney,,
002837.SZ,eastmoney,1.0,False,eastmoney,,
002842.SZ,eastmoney,1.0,False,eastmoney,,
002843.SZ,eastmoney,1.0,False,eastmoney,,
002849.SZ,eastmoney,1.0,False,eastmoney,,
002865.SZ,eastmoney,1.0,False,eastmoney,,
002869.SZ,eastmoney,1.0,False,eastmoney,,
002873.SZ,eastmoney,1.0,False,eastmoney,,
002888.SZ,eastmoney,1.0,False,eastmoney,,
002891.SZ,eastmoney,1.0,False,eastmoney,,
002905.SZ,eastmoney,1.0,False,eastmoney,,
002913.SZ,eastmoney,1.0,False,eastmoney,,
002915.SZ,eastmoney,1.0,False,eastmoney,,
002925.SZ,eastmoney,1.0,False,eastmoney,,
002935.SZ,eastmoney,1.0,False,eastmoney,,
002941.SZ,eastmoney,1.0,False,eastmoney,,
002960.SZ,eastmoney,1.0,False,eastmoney,,
002963.SZ,eastmoney,1.0,False,eastmoney,,
002966.SZ,eastmoney,1.0,False,eastmoney,,
002976.SZ,eastmoney,1.0,False,eastmoney,,
002986.SZ,eastmoney,1.0,False,eastmoney,,
002991.SZ,eastmoney,1.0,False,eastmoney,,
002992.SZ,eastmoney,1.0,False,eastmoney,,
002996.SZ,eastmoney,1.0,False,eastmoney,,
003007.SZ,eastmoney,1.0,False,eastmoney,,
003010.SZ,eastmoney,1.0,False,eastmoney,,
003011.SZ,eastmoney,1.0,False,eastmoney,,
003016.SZ,eastmoney,1.0,False,eastmoney,,
003018.SZ,eastmoney,1.0,False,eastmoney,,
003035.SZ,eastmoney,1.0,False,eastmoney,,
003041.SZ,eastmoney,1.0,False,eastmoney,,
300006.SZ,eastmoney,1.0,False,eastmoney,,
300007.SZ,eastmoney,1.0,False,eastmoney,,
300016.SZ,eastmoney,1.0,False,eastmoney,,
300018.SZ,eastmoney,1.0,False,eastmoney,,
300021.SZ,eastmoney,1.0,False,eastmoney,,
300022.SZ,eastmoney,1.0,False,eastmoney,,
300030.SZ,eastmoney,1.0,False,eastmoney,,
300039.SZ,eastmoney,1.0,False,eastmoney,,
300047.SZ,eastmoney,1.0,False,eastmoney,,
300061.SZ,eastmoney,1.0,False,eastmoney,,
300067.SZ,eastmoney,1.0,False,eastmoney,,
