date,rows,selected_count,unknown_rows,unknown_selected_count,unknown_row_ratio,unknown_selected_ratio,path
2018-08-30,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-31,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-03,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-04,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-05,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-06,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-07,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-10,239,233,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-11,239,233,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-12,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-13,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-14,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-17,239,233,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-18,240,233,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-19,239,232,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-20,239,233,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-21,239,233,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-25,239,233,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-26,239,233,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-27,238,232,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-09-28,239,233,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-08,238,233,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-09,238,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-10,238,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-11,238,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-12,238,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-15,239,235,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-16,240,235,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-17,240,235,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-18,240,236,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-19,238,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-22,238,235,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-23,238,235,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-24,237,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-25,236,233,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-26,238,235,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-29,239,236,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-30,239,236,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-10-31,239,236,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-01,241,238,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-02,241,238,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-05,241,238,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-06,242,239,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-07,243,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-08,243,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-09,243,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-12,242,239,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-13,242,239,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-14,242,239,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-15,242,239,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-16,243,239,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-19,243,239,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-20,242,238,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-21,243,239,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-22,243,239,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-23,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-26,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-27,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-28,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-29,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-11-30,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-03,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-04,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-05,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-06,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-07,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-10,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-11,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-12,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-13,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-14,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-17,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-18,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-19,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-20,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-21,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-24,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-25,242,238,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-26,242,238,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-27,242,238,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-12-28,243,239,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-02,243,239,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-03,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-04,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-07,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-08,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-09,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-10,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-11,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-14,245,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-15,245,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-16,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-17,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-18,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-21,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-22,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-23,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-24,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-25,244,240,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-28,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-29,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-30,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-01-31,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-01,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-11,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-12,245,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-13,245,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-14,245,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-15,245,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-18,245,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-19,245,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-20,243,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
