date,symbol,shares,close,market_value,weight,industry,market_cap
2026-04-16,000713.SZ,1600,6.63,10608.0,0.008770306994024334,,0.0
2026-04-16,000007.SZ,500,13.69,6845.0,0.0056591960194284086,,0.0
2026-04-16,000019.SZ,1400,7.62,10668.0,0.008819912802814063,,0.0
2026-04-16,000401.SZ,2600,4.66,12116.0,0.010017066321606224,,0.0
2026-04-16,000403.SZ,1100,13.06,14366.0,0.011877284151221112,,0.0
2026-04-16,000421.SZ,1300,6.01,7813.0,0.006459503067902725,,0.0
2026-04-16,000498.SZ,2500,5.95,14875.0,0.012298106762453992,,0.0
2026-04-16,000507.SZ,2000,5.32,10640.0,0.008796763425378856,,0.0
2026-04-16,000547.SZ,100,27.4,2740.0,0.002265331934731021,,0.0
2026-04-16,000564.SZ,6300,1.88,11844.0,0.009792186655092778,,0.0
2026-04-16,000582.SZ,700,10.67,7469.0,0.006175096430841604,,0.0
2026-04-16,000592.SZ,200,11.11,2222.0,0.001837068452179682,,0.0
2026-04-16,000672.SZ,500,13.14,6570.0,0.005431836062475478,,0.0
2026-04-16,000680.SZ,600,11.69,7014.0,0.005798919047519483,,0.0
2026-04-16,000685.SZ,1000,11.17,11170.0,0.00923494806968814,,0.0
2026-04-16,000697.SZ,1000,10.06,10060.0,0.00831724060707813,,0.0
2026-04-16,000707.SZ,1800,5.88,10584.0,0.00875046467050844,,0.0
2026-04-16,000708.SZ,500,16.33,8164.999999999999,0.006750523812802477,,0.0
2026-04-16,000729.SZ,700,12.98,9086.0,0.007511972977724839,,0.0
2026-04-16,000735.SZ,1400,6.9,9660.0,0.007986535215146593,,0.0
2026-04-16,000800.SZ,2400,7.11,17064.0,0.014107892019799322,,0.0
2026-04-16,000852.SZ,1200,6.87,8244.0,0.006815838127708956,,0.0
2026-04-16,000858.SZ,100,103.44,10344.0,0.008552041435349518,,0.0
2026-04-17,000001.SZ,2000,10.66,21320.0,0.017663734677244382,,0.0
2026-04-17,000166.SZ,3600,4.74,17064.0,0.014137615784826366,,0.0
2026-04-17,000333.SZ,100,78.65,7865.000000000001,0.006516194804715154,,0.0
2026-04-17,000538.SZ,400,53.69,21476.0,0.01779298151634617,,0.0
2026-04-17,000598.SZ,2000,6.62,13240.0,0.01096941121607484,,0.0
2026-04-17,000623.SZ,600,18.21,10926.0,0.009052249769398318,,0.0
2026-04-17,000651.SZ,500,36.95,18475.0,0.015306636874394463,,0.0
2026-04-17,000725.SZ,2600,3.99,10374.0,0.008594914800268912,,0.0
2026-04-17,000728.SZ,2000,7.86,15720.0,0.01302410455564173,,0.0
2026-04-17,000423.SZ,200,52.47,10494.0,0.008694335445731827,,0.0
2026-04-17,000778.SZ,2000,4.46,8920.0,0.007390267979409938,,0.0
