date,symbol,side,shares,price,execution_price,raw_value,execution_value,commission,stamp_tax,transfer_fee,slippage,total_cost,cash_after
2025-11-03,000598.SZ,sell,400,7.07,7.068586000000001,2828.0,2827.4344,5.0,1.414,0.028280000000000003,0.565599999999904,7.007879999999903,261315.00784000018
2025-11-03,000600.SZ,sell,300,8.92,8.918216,2676.0,2675.4647999999997,5.0,1.338,0.026760000000000003,0.535200000000259,6.899960000000259,263984.1078800002
2025-11-03,000625.SZ,sell,2100,12.41,12.407518,26061.0,26055.7878,7.818299999999999,13.0305,0.26061,5.212200000001758,26.321610000001755,290018.7862700002
2025-11-03,000631.SZ,sell,5500,3.1,3.09938,17050.0,17046.59,5.114999999999999,8.525,0.1705,3.4099999999998545,17.220499999999856,307051.5657700002
2025-11-03,000682.SZ,sell,1000,11.91,11.907618000000001,11910.0,11907.618,5.0,5.955,0.11910000000000001,2.381999999999607,13.456099999999607,318948.1096700002
2025-11-03,000715.SZ,sell,2800,5.75,5.74885,16100.0,16096.78,5.0,8.05,0.161,3.219999999999345,16.430999999999344,335031.6786700002
2025-11-03,000719.SZ,sell,200,12.15,12.14757,2430.0,2429.514,5.0,1.215,0.024300000000000002,0.4859999999998763,6.725299999999876,337454.95337000024
2025-11-03,000722.SZ,sell,1200,12.69,12.687462,15228.0,15224.9544,5.0,7.614,0.15228,3.0455999999994674,15.811879999999467,352667.14149000024
2025-11-03,000726.SZ,sell,1000,7.08,7.078584,7080.0,7078.584,5.0,3.54,0.0708,1.4160000000001673,10.026800000000167,359737.11469000025
2025-11-03,000778.SZ,sell,4700,4.36,4.359128,20492.0,20487.9016,6.1476,10.246,0.20492000000000002,4.098399999998946,20.696919999998947,380208.41777000023
2025-11-03,000791.SZ,sell,3400,6.83,6.828634,23222.0,23217.3556,6.9666,11.611,0.23222,4.644400000001042,23.454220000001044,403406.9635500002
2025-11-03,000828.SZ,sell,200,11.41,11.407718000000001,2282.0,2281.5436,5.0,1.141,0.022820000000000003,0.45640000000003056,6.620220000000031,405682.34333000024
2025-11-03,000848.SZ,sell,300,8.66,8.658268,2598.0,2597.4804,5.0,1.299,0.025980000000000003,0.5196000000000822,6.844580000000081,408273.49875000026
2025-11-03,000850.SZ,sell,300,4.69,4.689062000000001,1407.0000000000002,1406.7186000000002,5.0,0.7035000000000001,0.014070000000000003,0.28140000000007603,5.998970000000076,409674.49978000025
2025-11-03,000862.SZ,sell,3300,5.92,5.918816,19536.0,19532.0928,5.860799999999999,9.768,0.19536,3.907200000001467,19.731360000001466,429190.76842000027
2025-11-03,000001.SZ,buy,500,10.98,10.982196,5490.0,5491.098,5.0,0.0,0.054900000000000004,1.0979999999999563,6.152899999999956,423694.6155200003
2025-11-03,000012.SZ,buy,1700,4.76,4.760952,8092.0,8093.618399999999,5.0,0.0,0.08092,1.618399999999383,6.699319999999383,415595.91620000027
2025-11-03,000028.SZ,buy,100,22.52,22.524504,2252.0,2252.4504,5.0,0.0,0.022520000000000002,0.45040000000017244,5.4729200000001725,413338.44328000024
2025-11-03,000037.SZ,buy,2300,8.67,8.671733999999999,19941.0,19944.988199999996,5.9822999999999995,0.0,0.19941,3.988199999996141,10.16990999999614,393387.27337000024
2025-11-03,000059.SZ,buy,4300,5.08,5.081016,21844.0,21848.3688,6.5531999999999995,0.0,0.21844000000000002,4.368800000000192,11.140440000000192,371532.13293000025
2025-11-03,000157.SZ,buy,2300,8.03,8.031606,18469.0,18472.6938,5.540699999999999,0.0,0.18469000000000002,3.6938000000009197,9.419190000000919,353053.71374000027
2025-11-03,000401.SZ,buy,4900,4.76,4.760952,23324.0,23328.6648,6.997199999999999,0.0,0.23324000000000003,4.66479999999865,11.89523999999865,329717.8185000003
2025-11-03,000403.SZ,buy,200,15.74,15.743148,3148.0,3148.6295999999998,5.0,0.0,0.03148,0.6295999999997548,5.661079999999755,326564.1574200003
2025-11-03,000423.SZ,buy,600,46.22,46.229244,27732.0,27737.5464,8.3196,0.0,0.27732,5.546399999999267,14.143319999999266,298818.0141000003
2025-11-03,000498.SZ,buy,100,6.11,6.111222000000001,611.0,611.1222,5.0,0.0,0.006110000000000001,0.12220000000002074,5.12831000000002,298201.8857900003
2025-11-03,000507.SZ,buy,5400,5.51,5.511101999999999,29754.0,29759.950799999995,8.9262,0.0,0.29754,5.95079999999507,15.17453999999507,268432.71125000034
2025-11-03,000513.SZ,buy,500,35.17,35.177034,17585.0,17588.517,5.275499999999999,0.0,0.17585,3.5169999999998254,8.968349999999823,250838.74290000033
2025-11-03,000516.SZ,buy,900,4.8,4.80096,4320.0,4320.864,5.0,0.0,0.0432,0.863999999999578,5.907199999999578,246512.83570000035
2025-11-03,000538.SZ,buy,100,55.11,55.121021999999996,5511.0,5512.102199999999,5.0,0.0,0.055110000000000006,1.1021999999993568,6.157309999999357,240995.67839000034
2025-11-03,000539.SZ,buy,4300,4.75,4.75095,20425.0,20429.085,6.1274999999999995,0.0,0.20425000000000001,4.084999999999127,10.416749999999126,220560.26164000033
2025-11-03,000565.SZ,buy,600,8.18,8.181636,4908.0,4908.981599999999,5.0,0.0,0.049080000000000006,0.9815999999991618,6.030679999999162,215646.23096000034
2025-11-03,000597.SZ,buy,3800,5.51,5.511101999999999,20938.0,20942.187599999997,6.2814,0.0,0.20938,4.187599999997474,10.678379999997475,194697.55258000034
2025-11-03,000652.SZ,buy,4300,4.25,4.25085,18275.0,18278.655,5.4825,0.0,0.18275000000000002,3.654999999998836,9.320249999998836,176413.23233000035
2025-11-03,000663.SZ,buy,2000,7.39,7.391477999999999,14780.0,14782.955999999998,5.0,0.0,0.14780000000000001,2.955999999998312,8.103799999998312,161625.12853000034
2025-11-03,000690.SZ,buy,400,4.59,4.590917999999999,1836.0,1836.3671999999997,5.0,0.0,0.01836,0.3671999999996842,5.385559999999685,159783.74297000034
2025-11-03,000691.SZ,buy,600,9.13,9.131826,5478.000000000001,5479.095600000001,5.0,0.0,0.054780000000000016,1.0955999999996493,6.150379999999649,154299.59259000033
