data_type,synthetic_data,mock_data,download_source,symbol,qlib_symbol,name,weight,source
real_akshare,False,False,akshare,688126.SH,SH688126,沪硅产业,,index_stock_cons_csindex
real_akshare,False,False,akshare,688183.SH,SH688183,生益电子,,index_stock_cons_csindex
real_akshare,False,False,akshare,688223.SH,SH688223,晶科能源,,index_stock_cons_csindex
real_akshare,False,False,akshare,688256.SH,SH688256,寒武纪,,index_stock_cons_csindex
real_akshare,False,False,akshare,688271.SH,SH688271,联影医疗,,index_stock_cons_csindex
real_akshare,False,False,akshare,688303.SH,SH688303,大全能源,,index_stock_cons_csindex
real_akshare,False,False,akshare,688396.SH,SH688396,华润微,,index_stock_cons_csindex
real_akshare,False,False,akshare,688472.SH,SH688472,阿特斯,,index_stock_cons_csindex
real_akshare,False,False,akshare,688506.SH,SH688506,百利天恒,,index_stock_cons_csindex
real_akshare,False,False,akshare,688521.SH,SH688521,芯原股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,688981.SH,SH688981,中芯国际,,index_stock_cons_csindex
