date,industry,portfolio_weight,benchmark_weight,active_weight
2026-05-08,A 农林牧渔,0.0,0.005341880341880342,-0.005341880341880342
2026-05-08,B 采矿业,0.0,0.00641025641025641,-0.00641025641025641
2026-05-08,E 建筑业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-08,J 金融业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-08,K 房地产,0.0,0.007478632478632479,-0.007478632478632479
2026-05-08,unknown,0.4383575841149054,0.4465811965811966,-0.008223612466291219
2026-05-08,N 公共环保,0.0,0.010683760683760684,-0.010683760683760684
2026-05-08,C 制造业,0.3353033617290894,0.3888888888888889,-0.05358552715979947
2026-05-11,L 商务服务,0.0397640336404336,0.0096051227321238,0.0301589109083098
2026-05-11,D 水电煤气,0.0409216040092787,0.011739594450373533,0.02918200955890517
2026-05-11,M 科研服务,0.036913565882335894,0.013874066168623266,0.02303949971371263
2026-05-11,B 采矿业,0.0204712598690573,0.0064034151547491995,0.014067844714308102
2026-05-11,G 运输仓储,0.0168421359301317,0.007470651013874066,0.009371484916257632
2026-05-11,P 教育,0.0,0.0021344717182497333,-0.0021344717182497333
2026-05-11,Q 卫生,0.0,0.0021344717182497333,-0.0021344717182497333
2026-05-11,R 文化传播,0.0,0.004268943436499467,-0.004268943436499467
2026-05-11,A 农林牧渔,0.0,0.005336179295624333,-0.005336179295624333
2026-05-11,E 建筑业,0.0,0.007470651013874066,-0.007470651013874066
2026-05-11,J 金融业,0.0,0.007470651013874066,-0.007470651013874066
2026-05-11,K 房地产,0.0,0.007470651013874066,-0.007470651013874066
2026-05-11,I 信息技术,0.0394618778494625,0.04909284951974386,-0.00963097167028136
2026-05-11,unknown,0.43630648061727684,0.44610458911419426,-0.009798108496917424
2026-05-11,N 公共环保,0.0,0.010672358591248666,-0.010672358591248666
2026-05-11,F 批发零售,0.0,0.0192102454642476,-0.0192102454642476
2026-05-11,C 制造业,0.3585045095838566,0.3895410885805763,-0.031036578996719688
2026-05-12,I 信息技术,0.080148532364147,0.049145299145299144,0.031003233218847855
2026-05-12,L 商务服务,0.0391998708479899,0.009615384615384616,0.029584486232605282
2026-05-12,M 科研服务,0.0362764290135638,0.013888888888888888,0.022387540124674914
2026-05-12,A 农林牧渔,0.020954144274501,0.005341880341880342,0.015612263932620657
2026-05-12,B 采矿业,0.0201982322797805,0.00641025641025641,0.01378797586952409
2026-05-12,G 运输仓储,0.0166153355143437,0.007478632478632479,0.009136703035711222
2026-05-12,D 水电煤气,0.0196518508499346,0.011752136752136752,0.007899714097797848
2026-05-12,P 教育,0.0,0.002136752136752137,-0.002136752136752137
2026-05-12,Q 卫生,0.0,0.002136752136752137,-0.002136752136752137
2026-05-12,R 文化传播,0.0,0.004273504273504274,-0.004273504273504274
2026-05-12,E 建筑业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-12,J 金融业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-12,K 房地产,0.0,0.007478632478632479,-0.007478632478632479
2026-05-12,N 公共环保,0.0,0.010683760683760684,-0.010683760683760684
2026-05-12,F 批发零售,0.0,0.019230769230769232,-0.019230769230769232
2026-05-12,C 制造业,0.363927342284856,0.3888888888888889,-0.02496154660403288
2026-05-12,unknown,0.3919971438914986,0.4465811965811966,-0.054584052689698015
2026-05-13,I 信息技术,0.1221535879550467,0.04909284951974386,0.07306073843530284
2026-05-13,L 商务服务,0.0387557071696029,0.0096051227321238,0.029150584437479102
2026-05-13,M 科研服务,0.034929738883887604,0.013874066168623266,0.02105567271526434
2026-05-13,A 农林牧渔,0.0205089097616895,0.005336179295624333,0.015172730466065164
2026-05-13,B 采矿业,0.0198451317687705,0.0064034151547491995,0.013441716614021302
2026-05-13,G 运输仓储,0.0162342719314496,0.007470651013874066,0.008763620917575533
2026-05-13,P 教育,0.0,0.0021344717182497333,-0.0021344717182497333
2026-05-13,Q 卫生,0.0,0.0021344717182497333,-0.0021344717182497333
2026-05-13,R 文化传播,0.0,0.004268943436499467,-0.004268943436499467
2026-05-13,E 建筑业,0.0,0.007470651013874066,-0.007470651013874066
2026-05-13,J 金融业,0.0,0.007470651013874066,-0.007470651013874066
2026-05-13,K 房地产,0.0,0.007470651013874066,-0.007470651013874066
2026-05-13,N 公共环保,0.0,0.010672358591248666,-0.010672358591248666
2026-05-13,D 水电煤气,0.0,0.011739594450373533,-0.011739594450373533
2026-05-13,F 批发零售,0.0,0.0192102454642476,-0.0192102454642476
2026-05-13,C 制造业,0.3591141711272081,0.3895410885805763,-0.030426917453368174
2026-05-13,unknown,0.3773526920120843,0.44610458911419426,-0.06875189710210994
2026-05-14,I 信息技术,0.1433670499164285,0.049145299145299144,0.09422175077112938
2026-05-14,L 商务服务,0.0370386876839505,0.009615384615384616,0.027423303068565885
2026-05-14,A 农林牧渔,0.0202149277526381,0.005341880341880342,0.014873047410757756
2026-05-14,B 采矿业,0.0197970058083299,0.005341880341880342,0.014455125466449557
2026-05-14,G 运输仓储,0.0163293136750206,0.007478632478632479,0.00885068119638812
2026-05-14,M 科研服务,0.0156828991214975,0.013888888888888888,0.0017940102326086116
2026-05-14,P 教育,0.0,0.002136752136752137,-0.002136752136752137
2026-05-14,Q 卫生,0.0,0.002136752136752137,-0.002136752136752137
2026-05-14,R 文化传播,0.0,0.004273504273504274,-0.004273504273504274
2026-05-14,E 建筑业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-14,J 金融业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-14,K 房地产,0.0,0.007478632478632479,-0.007478632478632479
2026-05-14,N 公共环保,0.0,0.010683760683760684,-0.010683760683760684
2026-05-14,D 水电煤气,0.0,0.011752136752136752,-0.011752136752136752
2026-05-14,F 批发零售,0.0,0.019230769230769232,-0.019230769230769232
2026-05-14,unknown,0.4221989721042797,0.4465811965811966,-0.024382224476916903
2026-05-14,C 制造业,0.3142164031281769,0.38995726495726496,-0.07574086182908807
2026-05-15,I 信息技术,0.1395709311063181,0.049145299145299144,0.09042563196101897
2026-05-15,L 商务服务,0.036717312699084,0.009615384615384616,0.027101928083699385
2026-05-15,A 农林牧渔,0.0206054456366731,0.005341880341880342,0.015263565294792758
2026-05-15,B 采矿业,0.0201112293303276,0.005341880341880342,0.014769348988447258
2026-05-15,C 制造业,0.3992354449783035,0.38995726495726496,0.009278180021038529
2026-05-15,G 运输仓储,0.0164117522876318,0.007478632478632479,0.008933119808999319
2026-05-15,M 科研服务,0.015848051091213,0.013888888888888888,0.0019591622023241127
2026-05-15,P 教育,0.0,0.002136752136752137,-0.002136752136752137
2026-05-15,Q 卫生,0.0,0.002136752136752137,-0.002136752136752137
2026-05-15,R 文化传播,0.0,0.004273504273504274,-0.004273504273504274
2026-05-15,E 建筑业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-15,J 金融业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-15,K 房地产,0.0,0.007478632478632479,-0.007478632478632479
2026-05-15,N 公共环保,0.0,0.010683760683760684,-0.010683760683760684
2026-05-15,D 水电煤气,0.0,0.011752136752136752,-0.011752136752136752
2026-05-15,F 批发零售,0.0,0.019230769230769232,-0.019230769230769232
2026-05-15,unknown,0.3407642167099081,0.4465811965811966,-0.10581697987128852
2026-05-18,I 信息技术,0.12027293501100911,0.049145299145299144,0.07112763586570997
2026-05-18,L 商务服务,0.0583229610549646,0.009615384615384616,0.048707576439579986
2026-05-18,B 采矿业,0.0410258856915134,0.005341880341880342,0.035684005349633056
2026-05-18,A 农林牧渔,0.0199548450193547,0.005341880341880342,0.014612964677474359
2026-05-18,G 运输仓储,0.0165970959302667,0.007478632478632479,0.00911846345163422
2026-05-18,M 科研服务,0.0156331819637864,0.013888888888888888,0.0017442930748975127
2026-05-18,P 教育,0.0,0.002136752136752137,-0.002136752136752137
2026-05-18,Q 卫生,0.0,0.002136752136752137,-0.002136752136752137
2026-05-18,R 文化传播,0.0,0.004273504273504274,-0.004273504273504274
2026-05-18,E 建筑业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-18,J 金融业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-18,K 房地产,0.0,0.007478632478632479,-0.007478632478632479
2026-05-18,N 公共环保,0.0,0.010683760683760684,-0.010683760683760684
