symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
300432.SZ,eastmoney,1,False,eastmoney,,
300433.SZ,eastmoney,1,False,eastmoney,,
300442.SZ,eastmoney,1,False,eastmoney,,
300450.SZ,eastmoney,1,False,eastmoney,,
300454.SZ,eastmoney,1,False,eastmoney,,
300474.SZ,eastmoney,1,False,eastmoney,,
300475.SZ,eastmoney,1,False,eastmoney,,
300476.SZ,eastmoney,1,False,eastmoney,,
300496.SZ,eastmoney,1,False,eastmoney,,
300498.SZ,eastmoney,1,False,eastmoney,,
300502.SZ,eastmoney,1,False,eastmoney,,
300548.SZ,eastmoney,1,False,eastmoney,,
300567.SZ,eastmoney,1,False,eastmoney,,
300570.SZ,eastmoney,1,False,eastmoney,,
300604.SZ,eastmoney,1,False,eastmoney,,
300620.SZ,eastmoney,1,False,eastmoney,,
300623.SZ,eastmoney,1,False,eastmoney,,
300627.SZ,eastmoney,1,False,eastmoney,,
300661.SZ,eastmoney,1,False,eastmoney,,
300666.SZ,eastmoney,1,False,eastmoney,,
300676.SZ,eastmoney,1,False,eastmoney,,
300679.SZ,eastmoney,1,False,eastmoney,,
300699.SZ,eastmoney,1,False,eastmoney,,
300724.SZ,eastmoney,1,False,eastmoney,,
300748.SZ,eastmoney,1,False,eastmoney,,
300750.SZ,eastmoney,1,False,eastmoney,,
300751.SZ,eastmoney,1,False,eastmoney,,
300757.SZ,eastmoney,1,False,eastmoney,,
300760.SZ,eastmoney,1,False,eastmoney,,
300763.SZ,eastmoney,1,False,eastmoney,,
300832.SZ,eastmoney,1,False,eastmoney,,
300857.SZ,eastmoney,1,False,eastmoney,,
300866.SZ,eastmoney,1,False,eastmoney,,
300888.SZ,eastmoney,1,False,eastmoney,,
300919.SZ,eastmoney,1,False,eastmoney,,
300953.SZ,eastmoney,1,False,eastmoney,,
300972.SZ,eastmoney,1,False,eastmoney,,
300999.SZ,eastmoney,1,False,eastmoney,,
301165.SZ,eastmoney,1,False,eastmoney,,
301200.SZ,eastmoney,1,False,eastmoney,,
301236.SZ,eastmoney,1,False,eastmoney,,
301269.SZ,eastmoney,1,False,eastmoney,,
301308.SZ,eastmoney,1,False,eastmoney,,
301358.SZ,eastmoney,1,False,eastmoney,,
301377.SZ,eastmoney,1,False,eastmoney,,
301498.SZ,eastmoney,1,False,eastmoney,,
301526.SZ,eastmoney,1,False,eastmoney,,
301536.SZ,eastmoney,1,False,eastmoney,,
301606.SZ,eastmoney,1,False,eastmoney,,
